2026-03-16 18:18:17.245 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 1 | create table if not exists app_user ( id bigint primary key, name varchar(100) not null )
2026-03-16 18:18:17.257 INFO  [traceId= userId=] [restartedMain] p6spy : 5 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (1, 'kim')
2026-03-16 18:18:17.260 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (2, 'lee')
2026-03-16 18:18:17.264 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (3, 'park')
2026-03-16 18:18:20.436 INFO  [traceId= userId=] [restartedMain] p6spy : 10 ms | statement | connection 4 | select * from INFORMATION_SCHEMA.SEQUENCES
2026-03-16 18:18:20.468 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-16 18:18:20.477 INFO  [traceId= userId=] [restartedMain] p6spy : 8 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-16 18:18:20.480 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-16 18:18:20.483 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-16 18:18:20.486 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-16 18:18:20.488 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-16 18:18:20.493 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-16 18:18:20.494 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
2026-03-16 18:18:20.496 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK6dotkott2kjsp8vw4d0m25fb7
2026-03-16 18:18:20.499 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists users add constraint UK6dotkott2kjsp8vw4d0m25fb7 unique (email)
2026-03-16 18:18:20.509 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."role" where 1=0
2026-03-16 18:18:20.513 INFO  [traceId= userId=] [restartedMain] p6spy : 0 ms | statement | connection 4 | select * from "testdb"."PUBLIC"."users" where 1=0
