2026-03-28 06:11:13.235 INFO  [traceId= userId=] [restartedMain] p6spy : 3 ms | statement | connection 1 | create table if not exists app_user ( id bigint primary key, name varchar(100) not null )
2026-03-28 06:11:13.523 INFO  [traceId= userId=] [restartedMain] p6spy : 12 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (1, 'kim')
2026-03-28 06:11:13.527 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (2, 'lee')
2026-03-28 06:11:13.529 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 2 | merge into app_user (id, name) key(id) values (3, 'park')
2026-03-28 06:11:16.574 INFO  [traceId= userId=] [restartedMain] p6spy : 9 ms | statement | connection 4 | select * from INFORMATION_SCHEMA.SEQUENCES
2026-03-28 06:11:16.603 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists refresh_token drop constraint if exists UKkdj16cltjxdksuyiosdhliveg
2026-03-28 06:11:16.610 INFO  [traceId= userId=] [restartedMain] p6spy : 6 ms | statement | connection 4 | alter table if exists refresh_token add constraint UKkdj16cltjxdksuyiosdhliveg unique (token_hash)
2026-03-28 06:11:16.613 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists role drop constraint if exists UKiubw515ff0ugtm28p8g3myt0h
2026-03-28 06:11:16.617 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists role add constraint UKiubw515ff0ugtm28p8g3myt0h unique (role_name)
2026-03-28 06:11:16.622 INFO  [traceId= userId=] [restartedMain] p6spy : 3 ms | statement | connection 4 | alter table if exists user_role drop constraint if exists UK872xec3woupu3gw59b04pj3sa
2026-03-28 06:11:16.625 INFO  [traceId= userId=] [restartedMain] p6spy : 2 ms | statement | connection 4 | alter table if exists user_role add constraint UK872xec3woupu3gw59b04pj3sa unique (user_id, role_id)
2026-03-28 06:11:16.628 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users drop constraint if exists UK8mkeyj0y8gx4ngt7i50q4rxgg
2026-03-28 06:11:16.630 INFO  [traceId= userId=] [restartedMain] p6spy : 1 ms | statement | connection 4 | alter table if exists users add constraint UK8mkeyj0y8gx4ngt7i50q4rxgg unique (provider, provider_subject)
